Trial	N_Channels	Channels	ATE_Mean_cm	Status
229	6	d4,d7,d9,d29,d43,d51	20.3315	OK
230	6	d25,d28,d43,d46,d55,d61	27.6610	OK
231	6	d0,d5,d16,d25,d46,d50	22.3659	OK
232	6	d15,d23,d29,d43,d47,d60	20.3493	OK
233	4	d13,d33,d47,d48	30.4003	OK
234	4	d3,d29,d41,d60	33.9053	OK
235	4	d8,d28,d38,d59	32.7498	OK
236	4	d5,d14,d17,d52	47.0077	OK
237	8	d4,d6,d7,d15,d19,d31,d34,d56	23.2341	OK
238	8	d17,d23,d24,d29,d34,d42,d44,d47	18.3312	OK
239	8	d9,d26,d37,d41,d46,d47,d53,d56	20.6473	OK
240	8	d2,d12,d17,d26,d31,d39,d44,d53	20.7402	OK
241	6	d13,d15,d28,d47,d54,d61	23.0435	OK
242	6	d6,d23,d34,d43,d46,d57	26.0828	OK
243	6	d3,d7,d12,d17,d25,d45	29.2120	OK
244	6	d5,d13,d40,d41,d42,d58	16.3864	OK
245	4	d2,d6,d31,d42	21.5081	OK
246	4	d8,d16,d26,d27	23.7094	OK
247	4	d0,d18,d29,d42	16.5297	OK
248	4	d16,d18,d32,d35	28.6137	OK
249	8	d0,d1,d7,d8,d22,d42,d55,d63	25.8463	OK
250	8	d1,d3,d8,d11,d16,d20,d30,d37	28.6980	OK
251	8	d4,d7,d28,d30,d33,d47,d49,d53	22.4390	OK
252	8	d6,d14,d28,d32,d37,d39,d46,d62	31.6355	OK
253	6	d5,d42,d46,d50,d55,d58	26.2327	OK
254	6	d1,d3,d29,d30,d38,d41	27.3160	OK
255	6	d6,d27,d31,d43,d45,d51	25.4514	OK
256	6	d4,d5,d20,d38,d56,d57	16.5289	OK
257	4	d8,d16,d18,d35	22.8865	OK
258	4	d37,d41,d48,d58	35.7547	OK
259	4	d12,d14,d27,d55	40.5904	OK
260	4	d29,d52,d55,d57	22.4701	OK
261	8	d6,d20,d25,d26,d29,d43,d46,d52	22.7613	OK
262	8	d9,d16,d20,d23,d30,d42,d43,d54	20.6605	OK
263	8	d5,d6,d8,d27,d47,d53,d60,d62	20.9844	OK
