channel,condition,local_sharpness,global_sharpness,x_local,y_local
65,+30%,0.005523,0.014005,0.004194,0.006852
65,+50%,0.008329,0.010417,0.009028,0.007630
66,Clean,0.003818,0.017401,0.003496,0.004139
66,+30%,0.007135,0.009869,0.008781,0.005490
66,+50%,0.004041,0.014944,0.004330,0.003752
67,Clean,0.003270,0.015415,0.002719,0.003821
67,+30%,0.006990,0.011784,0.001613,0.012368
67,+50%,0.007946,0.010746,0.012902,0.002991
68,Clean,0.003174,0.016233,0.003446,0.002901
68,+30%,0.007558,0.012470,0.003572,0.011544
68,+50%,0.008028,0.010363,0.014137,0.001918
69,Clean,0.002900,0.014517,0.002859,0.002940
69,+30%,0.006779,0.011806,0.002462,0.011096
69,+50%,0.010012,0.009585,0.004497,0.015527
70,Clean,0.003548,0.015969,0.003099,0.003998
70,+30%,0.005275,0.013417,0.002478,0.008072
70,+50%,0.007025,0.012094,0.003955,0.010095
71,Clean,0.004553,0.018778,0.003321,0.005785
71,+30%,0.003984,0.014686,0.003452,0.004517
71,+50%,0.007780,0.010396,0.013935,0.001625
72,Clean,0.003331,0.015716,0.002470,0.004193
72,+30%,0.006262,0.011987,0.005353,0.007170
72,+50%,0.004091,0.015076,0.004013,0.004169
73,Clean,0.003892,0.016567,0.002815,0.004970
73,+30%,0.007651,0.009862,0.011436,0.003866
73,+50%,0.007812,0.008118,0.008898,0.006727
74,Clean,0.003554,0.016639,0.002811,0.004297
74,+30%,0.004195,0.016143,0.003809,0.004580
74,+50%,0.003438,0.015158,0.002803,0.004072
75,Clean,0.003283,0.014344,0.002183,0.004382
75,+30%,0.003128,0.009757,0.001552,0.004705
75,+50%,0.006628,0.012727,0.004020,0.009236
76,Clean,0.003417,0.016466,0.002713,0.004121
76,+30%,0.007117,0.012048,0.002125,0.012109
76,+50%,0.005318,0.013406,0.004163,0.006472
77,Clean,0.003768,0.017221,0.002492,0.005045
77,+30%,0.006664,0.013645,0.009779,0.003548
77,+50%,0.008167,0.009889,0.010838,0.005496
78,Clean,0.003354,0.016622,0.003432,0.003275
78,+30%,0.004022,0.015603,0.004598,0.003446
78,+50%,0.004661,0.011963,0.003949,0.005373
79,Clean,0.002814,0.013958,0.002774,0.002853
79,+30%,0.005743,0.009275,0.005832,0.005654
79,+50%,0.005456,0.010395,0.002648,0.008264
80,Clean,0.003619,0.017564,0.002857,0.004382
80,+30%,0.005974,0.012059,0.002319,0.009629
80,+50%,0.008484,0.009549,0.002741,0.014226
81,Clean,0.003098,0.015464,0.002431,0.003766
81,+30%,0.008443,0.011279,0.005893,0.010994
81,+50%,0.007910,0.010863,0.004939,0.010881
82,Clean,0.003946,0.018121,0.003716,0.004177
82,+30%,0.005322,0.009211,0.004324,0.006320
82,+50%,0.007363,0.007992,0.005578,0.009147
83,Clean,0.003747,0.017620,0.003436,0.004058
83,+30%,0.004328,0.014050,0.003145,0.005511
83,+50%,0.007309,0.008658,0.002018,0.012601
84,Clean,0.003451,0.017099,0.003250,0.003651
84,+30%,0.008940,0.009410,0.009655,0.008225
84,+50%,0.007607,0.012435,0.007463,0.007751
85,Clean,0.003538,0.017072,0.002972,0.004105
85,+30%,0.004860,0.011702,0.005294,0.004426
