rank,channels,source_stage,se3_ate_rmse_cm,se3_ate_mean_cm,rotation_ape_rmse_deg,translation_rpe_rmse_cm,translation_rpe_max_cm,rotation_rpe_rmse_deg,rotation_rpe_max_deg,translation_jump_flag,rotation_jump_flag,rpe_safety_pass,legacy_keyframe_sim3_mean_cm,legacy_keyframe_sim3_scale,legacy_keyframe_poses,photo_mse_median,photo_mse_nonfinite_count,valid_ratio_min
462,"8,18,24,52",bruteforce,9.76447973903009,8.468424121681847,98.28305893245924,2.9613722133200704,13.612489461110183,2.1435117250136884,9.924702876505473,True,True,False,10.124466075359736,1.5610631375270638,7,2886.108887,0,0.899
463,"5,8,26,40",bruteforce,9.766853675589244,8.967566408568981,66.43450170545884,2.743284570353157,9.629847952726246,1.972743116956603,7.435850021201548,True,True,False,8.256394374172803,1.3769451394463061,7,2059.26416,0,0.893
464,"5,24,27,59",bruteforce,9.768932875881738,9.102198108231754,65.06609433843589,2.1108715361461967,8.506865996046779,1.753036935188456,7.3168033799475864,True,True,False,5.1292542219260735,1.8589128194574762,7,1436.340088,0,0.946
465,"6,15,31,32",bruteforce,9.772586859937912,8.711550809400874,77.17996639211368,3.4114798261061314,13.331434728036568,2.5551957624390913,10.108014577643948,True,True,False,9.384735126457478,1.2763453482558647,7,28076.330078,0,0.905
466,"17,23,27,52",bruteforce,9.772985853148697,8.737495494987977,77.74127193173344,2.965407946270949,13.522778637212992,2.2309284343226174,10.700512416512927,True,True,False,8.80341921628313,1.42592636465931,7,13509.015625,0,0.934
467,"0,15,30,50",bruteforce,9.774546333369601,8.90883658539109,91.0604748080382,2.4645382969118974,9.415890010826804,1.917716447100118,6.709619221253913,True,True,False,8.491580800495129,1.6469228676603314,5,28.446985,0,0.894
468,"18,27,50,52",bruteforce,9.77743463796148,8.476041926816798,85.02442864512871,3.721422431784718,16.10263572728464,2.2594969436306336,8.74144311772026,True,True,False,9.065990320718555,1.389125229364573,9,262.212494,0,0.838
469,"5,26,56,63",bruteforce,9.782080149510723,8.860860922079112,67.09922353428496,2.8737604503802303,13.525042472194762,1.9926833100342831,8.60155410185994,True,True,False,10.459464109268879,1.3598874343883833,9,3862.616943,0,0.913
470,"5,17,19,59",rescue,9.789267112193139,8.612937058925672,73.07228407689566,2.1189316037519923,5.992669804917021,1.3415033481067926,3.2211585611491205,False,False,True,8.945507683167124,1.8802822037772386,7,1188.011719,0,0.949
471,"20,23,24,63",bruteforce,9.791903043892264,8.671538946547816,66.93267165090859,3.991743169352523,22.08390375139887,2.1731532057350833,11.087417483322847,True,True,False,8.618641755733503,1.1273752870401172,6,927.269104,0,0.76
472,"26,39,40,52",bruteforce,9.793615126838013,8.813220152847107,70.80208390212385,4.774202067674406,24.301134243681453,3.1420873354819174,15.979920137974082,True,True,False,10.279545631196697,0.8472942220729441,8,2110.703613,0,0.806
