channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
21,0.28179693,0.71134543,,0.66872191,,0.08162459,0.23828158,,0.30844647,,0.79395163,0.75503677,0.75721419,,0.06319666,0.43310234,0.92774153,0.68128538,0.68022001,0.85778451,0.70687830,1.00000000,0.84000146,0.68984020,0.13350695,0.52495074,0.06478571,0.48810345,0.41270852,0.74187171,0.24594590,0.74533999,0.32799047,0.78262901,0.79670554,0.82245338,,0.94207776,,0.55910850,0.07985084,0.71792239,0.81510830,0.67957455,0.74182367,0.93669927,0.95889717,0.85871494,,0.58726066,0.35500699,0.94249856,0.15369420,0.90711153,0.68241900,0.89972818,0.31744558,0.57109785,0.76782531,0.07617779,0.87763381,0.97964346,0.74658841,0.41265693
22,0.29328215,0.44946229,,0.57783836,,0.15513563,0.22667840,,0.44719768,,0.62193871,0.76380831,0.67381823,,0.32975158,0.35987645,0.83066702,0.62490022,0.65271366,0.79575711,0.62916875,0.84000146,1.00000000,0.55250561,0.13257748,0.17475173,0.04032547,0.53967404,0.40488571,0.73633659,0.19417877,0.63012242,0.38911015,0.69253904,0.70021570,0.77464545,,0.83559227,,0.42739227,0.11078046,0.82964671,0.72039950,0.51274091,0.77949059,0.78959262,0.83121431,0.79520798,,0.64959228,0.07819155,0.75273943,0.12823534,0.71145749,0.64525568,0.86988723,0.49364933,0.60800707,0.62445974,0.30975097,0.80416250,0.89217067,0.61164433,0.31562364
23,0.14489974,0.48431957,,0.47760212,,0.19198915,0.19180423,,0.09008044,,0.60844404,0.50326341,0.52466619,,0.04479517,0.39195698,0.61948371,0.46647322,0.44892696,0.53948092,0.46713343,0.68984020,0.55250561,1.00000000,0.03280757,0.31979436,0.03520856,0.36562508,0.32630029,0.52586901,0.27710044,0.35277730,0.32140973,0.46087024,0.53156811,0.56335354,,0.63576478,,0.42481881,0.19385512,0.51095843,0.63252139,0.54439855,0.43164343,0.61490512,0.66046083,0.62563097,,0.43838274,0.27136105,0.63406563,0.08890087,0.61624384,0.46130544,0.61183602,0.31378645,0.46595740,0.54899740,0.06151026,0.62275374,0.66614842,0.55029905,0.38887763
24,0.38030314,0.02839419,,0.10255310,,0.03751497,0.05647533,,0.02354259,,0.18927732,0.09987552,0.06565148,,0.02687685,0.14067969,0.16675378,0.12702116,0.05347446,0.14680701,0.15897532,0.13350695,0.13257748,0.03280757,1.00000000,0.06543574,0.15384041,0.11884618,0.07903443,0.27107412,0.28033209,0.19233307,0.03326383,0.18080236,0.14093205,0.08231487,,0.12639987,,0.17646998,0.27852565,0.14780861,0.06950805,0.08065191,0.06874751,0.16034114,0.16589370,0.04893254,,0.04265917,0.06941053,0.08450445,0.03769941,0.10649100,0.10565055,0.20274958,0.23390792,0.14202829,0.07110893,0.08643597,0.05177224,0.18691236,0.10703371,0.13819979
25,0.20119599,0.46677285,,0.39943573,,0.16834441,0.16204447,,0.14689443,,0.43502116,0.26392120,0.39469478,,0.35518426,0.19851497,0.49975860,0.37441689,0.18508954,0.23333499,0.64797831,0.52495074,0.17475173,0.31979436,0.06543574,1.00000000,0.05224292,0.21677044,0.19328639,0.45005202,0.18519795,0.44124824,0.09357097,0.36509728,0.35141602,0.40878153,,0.55874342,,0.30619037,0.04440279,0.14391157,0.43261921,0.66007710,0.50243974,0.53274214,0.53663826,0.49601704,,0.11771708,0.43996072,0.56451398,0.10429335,0.56686336,0.37780187,0.40195239,0.22241607,0.36465579,0.45722228,0.35486645,0.47519386,0.51986784,0.50192094,0.45263958
26,0.05200578,0.28217193,,0.01863378,,0.02517052,0.11327574,,0.04625958,,0.23850976,0.14296660,0.03111335,,0.05789293,0.13367581,0.07755949,0.03976749,0.04248731,0.35096997,0.18859369,0.06478571,0.04032547,0.03520856,0.15384041,0.05224292,1.00000000,0.17392331,0.11621631,0.33721226,0.24450362,0.07413527,0.09753704,0.03976241,0.05987715,0.02996825,,0.07849371,,0.08805983,0.06841715,0.04160140,0.18972400,0.23039165,0.02946058,0.03167060,0.17086948,0.07270631,,0.21571296,0.19748870,0.08974855,0.14010100,0.02489932,0.01374798,0.03101526,0.56151795,0.46478400,0.01789737,0.02336679,0.12937118,0.04029314,0.04108394,0.37408310
27,0.16871643,0.31899941,,0.23784503,,0.02473107,0.33846974,,0.15894800,,0.32190120,0.41317147,0.24594595,,0.07067116,0.22646017,0.43648124,0.37307939,0.48770192,0.39800733,0.37817585,0.48810345,0.53967404,0.36562508,0.11884618,0.21677044,0.17392331,1.00000000,0.83830225,0.33207378,0.21967977,0.34897453,0.79549134,0.25742209,0.30301663,0.32133043,,0.62003291,,0.23093155,0.14870569,0.39116597,0.43935359,0.37968254,0.34909827,0.39007056,0.44723746,0.37797043,,0.30450511,0.10407878,0.42786670,0.48566428,0.41071773,0.24906707,0.46527982,0.32430819,0.42560861,0.25443870,0.06570665,0.40118009,0.53883839,0.26631615,0.23557553
28,0.07464844,0.27653620,,0.16311376,,0.12219087,0.22562101,,0.18278432,,0.28045428,0.36400506,0.21961179,,0.08779706,0.18567447,0.37977380,0.23379049,0.33506539,0.33698463,0.33135748,0.41270852,0.40488571,0.32630029,0.07903443,0.19328639,0.11621631,0.83830225,1.00000000,0.28443140,0.11979067,0.20200640,0.71487093,0.22104689,0.18657224,0.35407132,,0.45647353,,0.18546377,0.16550019,0.32504827,0.38741082,0.30078852,0.31169626,0.24465205,0.39051005,0.37874693,,0.32732621,0.10963396,0.40285859,0.54719341,0.38388503,0.18487477,0.43045712,0.17406905,0.30178228,0.14682353,0.04185921,0.42002240,0.43778414,0.18830228,0.23744249
29,0.39524883,0.30120787,,0.72543275,,0.04801924,0.24250287,,0.31284499,,0.55711770,0.66716468,0.71227115,,0.05496394,0.32518655,0.81866455,0.27406910,0.22943644,0.49807078,0.72524720,0.74187171,0.73633659,0.52586901,0.27107412,0.45005202,0.33721226,0.33207378,0.28443140,1.00000000,0.30243134,0.55257857,0.31706107,0.48139188,0.42433292,0.76512492,,0.81241667,,0.41324192,0.07008989,0.60653436,0.69988656,0.66746759,0.70736974,0.78268409,0.69203234,0.62252724,,0.51797760,0.12817442,0.66538382,0.05395049,0.67099118,0.73075795,0.67980856,0.48740894,0.70034480,0.76017487,0.08018102,0.58830255,0.81483698,0.81012094,0.46579230
30,0.07391120,0.05174487,,0.24070737,,0.05939035,0.18457720,,0.05639086,,0.36429647,0.46897954,0.24386513,,0.04666240,0.35640636,0.29393208,0.08811421,0.18828583,0.10516147,0.27690855,0.24594590,0.19417877,0.27710044,0.28033209,0.18519795,0.24450362,0.21967977,0.11979067,0.30243134,1.00000000,0.07038842,0.21426983,0.08582732,0.08727689,0.26499873,,0.32454699,,0.38017261,0.02724719,0.15407732,0.51510215,0.55395150,0.20600826,0.21627182,0.11475683,0.19278041,,0.42275065,0.08947711,0.23679316,0.08567752,0.26459819,0.23484680,0.17706831,0.16730520,0.63333046,0.26661304,0.01638469,0.12664118,0.24182549,0.28877628,0.44960424
