step,beam,channel,subset,bqs,marginal
1,seed,118,[118],0.35407049485565234,0.35407049485565234
1,seed,119,[119],0.5866850778809533,0.5866850778809533
1,seed,120,[120],0.6388217005013835,0.6388217005013835
1,seed,121,[121],0.5466666952221853,0.5466666952221853
1,seed,122,[122],0.45768788740554545,0.45768788740554545
1,seed,123,[123],0.5987319551132047,0.5987319551132047
1,seed,124,[124],0.47113063516306997,0.47113063516306997
1,seed,125,[125],0.39377319157462076,0.39377319157462076
1,seed,126,[126],0.3098974366582547,0.3098974366582547
1,seed,127,[127],0.4985812261170995,0.4985812261170995
2,beam1(seed=ch39),0,"[39, 0]",0.650458570680801,-0.024208
2,beam1(seed=ch39),1,"[39, 1]",0.6208136518297321,-0.053853
2,beam1(seed=ch39),2,"[39, 2]",0.6351304393404846,-0.039536
2,beam1(seed=ch39),3,"[39, 3]",0.6235829200350137,-0.051084
2,beam1(seed=ch39),4,"[39, 4]",0.5751316526520701,-0.099535
2,beam1(seed=ch39),5,"[39, 5]",0.6341096605520598,-0.040557
2,beam1(seed=ch39),6,"[39, 6]",0.6468871178748388,-0.02778
2,beam1(seed=ch39),7,"[39, 7]",0.5751663249293977,-0.0995
2,beam1(seed=ch39),8,"[39, 8]",0.6099553639869713,-0.064711
2,beam1(seed=ch39),9,"[39, 9]",0.6457024776679392,-0.028964
2,beam1(seed=ch39),10,"[39, 10]",0.6403394539703656,-0.034327
2,beam1(seed=ch39),11,"[39, 11]",0.6235011082933686,-0.051166
2,beam1(seed=ch39),12,"[39, 12]",0.6138760736683677,-0.060791
2,beam1(seed=ch39),13,"[39, 13]",0.6457443239338925,-0.028922
2,beam1(seed=ch39),14,"[39, 14]",0.5984854323110841,-0.076181
2,beam1(seed=ch39),15,"[39, 15]",0.5357545453524043,-0.138912
2,beam1(seed=ch39),16,"[39, 16]",0.6485840645349241,-0.026083
2,beam1(seed=ch39),17,"[39, 17]",0.6504681275085981,-0.024199
2,beam1(seed=ch39),18,"[39, 18]",0.6761641832209716,0.001498
2,beam1(seed=ch39),19,"[39, 19]",0.6191864811253522,-0.05548
2,beam1(seed=ch39),20,"[39, 20]",0.6478721104995182,-0.026795
