dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source_label,source,kind,variant,fine_rank,coarse_rank,configuration,status,reason,historical_evo_ape_mean_cm,historical_evo_ape_rmse_cm,historical_evo_rpe_rmse_cm,se3_ate_rmse_cm,se3_ate_mean_cm,translation_rpe_max_cm,rotation_rpe_max_deg,coverage_ratio,elapsed_seconds,dataset_rank
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine04_coarse05,resnet_c2f_a_fine04_coarse05,Step-R:new,c2f,A,4,5,"C2F-A; fine conv1[d33,d52]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,9.9591,10.9938,1.0872,14.017958943292754,13.32497407026623,9.035007807940652,4.576764988261192,0.9965095986038395,49.308895468995615,18
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse01,resnet_c2f_a_fine05_coarse01,Step-R:new,c2f,A,5,1,"C2F-A; fine conv1[d5,d6,d24,d29]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.6922,21.4781,1.9448,22.786664872941483,21.580070934671163,32.826300835988626,7.806895321266445,0.9965095986038395,50.22813096999744,58
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse02,resnet_c2f_a_fine05_coarse02,Step-R:new,c2f,A,5,2,"C2F-A; fine conv1[d5,d6,d24,d29]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,18.4573,20.2224,1.8141999999999998,21.694096790318685,20.60653548253892,29.876839061796755,7.157787419903563,0.9965095986038395,50.70436842199706,44
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse03,resnet_c2f_a_fine05_coarse03,Step-R:new,c2f,A,5,3,"C2F-A; fine conv1[d5,d6,d24,d29]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,20.0792,21.712999999999997,1.5634,22.856126413095982,21.51510751329065,20.56465087209585,12.496061383385726,0.9965095986038395,50.44015201800357,61
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse04,resnet_c2f_a_fine05_coarse04,Step-R:new,c2f,A,5,4,"C2F-A; fine conv1[d5,d6,d24,d29]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.6181,21.4443,1.9696000000000002,22.70220610580193,21.50512727156711,33.47878786669578,8.230068698737467,0.9965095986038395,50.037773229996674,57
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine05_coarse05,resnet_c2f_a_fine05_coarse05,Step-R:new,c2f,A,5,5,"C2F-A; fine conv1[d5,d6,d24,d29]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,7.9563,8.960700000000001,1.1285,12.946896617391628,12.423643703156905,11.125626129449543,4.958803128100339,0.9965095986038395,50.09788535499683,10
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse01,resnet_c2f_a_fine06_coarse01,Step-R:new,c2f,A,6,1,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d41,d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,20.0227,21.8018,1.9165,23.032754318744438,21.83963155646815,32.00436890560869,7.33549251380367,0.9965095986038395,49.69178957500117,60
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse02,resnet_c2f_a_fine06_coarse02,Step-R:new,c2f,A,6,2,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d60,d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,19.3824,21.1503,1.8641999999999999,22.457423375686282,21.34825963657658,30.794504363575115,7.17679132029312,0.9965095986038395,49.83811695199984,51
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse03,resnet_c2f_a_fine06_coarse03,Step-R:new,c2f,A,6,3,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d41,d60,d67,d95,d108,d121]",PASS,Completed the full matched RGB-D sequence,23.9085,25.8575,2.1069,26.512838628217693,24.860572724565397,36.43431546729662,8.551295563635854,0.9965095986038395,49.810812014002295,70
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse04,resnet_c2f_a_fine06_coarse04,Step-R:new,c2f,A,6,4,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d67,d108,d121]",PASS,Completed the full matched RGB-D sequence,20.2483,22.053700000000003,2.0125,23.25447369418547,22.055497572587335,34.1047826899594,8.216273835680276,0.9965095986038395,49.11041044900048,62
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_a_fine06_coarse05,resnet_c2f_a_f6_c5_positive_synergy,Step-Q:resnet_c2f_a_f6_c5_positive_synergy,c2f,A,6,5,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,Completed the full matched RGB-D sequence,8.0333,9.0025,1.0593,13.241159845209282,12.481101364936036,7.68493859855057,5.176205510659238,0.9965095986038395,50.82066322301398,11
