dataset_order,dataset_key,dataset_family,dataset_condition,standard_label,source,variant,fine_rank,coarse_rank,c2f_status,c2f_ate_mean_cm,fine_parent,fine_status,fine_ate_mean_cm,coarse_parent,coarse_status,coarse_ate_mean_cm,better_parent,better_parent_ate_mean_cm,comparison_status,delta_vs_fine_cm,percent_delta_vs_fine,beats_fine,delta_vs_better_parent_cm,percent_delta_vs_better_parent,beats_better_parent
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse01,Step-R:new,B,1,1,PASS,18.9691,resnet_direct_fine01,PASS,10.439,resnet_direct_coarse01,PASS,19.8825,resnet_direct_fine01,10.439,COMPARABLE,8.530100000000001,81.71376568636843,False,8.530100000000001,81.71376568636843,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse02,Step-R:new,B,1,2,PASS,11.3968,resnet_direct_fine01,PASS,10.439,resnet_direct_coarse02,PASS,19.6141,resnet_direct_fine01,10.439,COMPARABLE,0.9578000000000007,9.17520835329055,False,0.9578000000000007,9.17520835329055,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse03,Step-R:new,B,1,3,PASS,12.587599999999998,resnet_direct_fine01,PASS,10.439,resnet_direct_coarse03,PASS,24.6459,resnet_direct_fine01,10.439,COMPARABLE,2.1485999999999983,20.582431267362757,False,2.1485999999999983,20.582431267362757,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse04,Step-Q:resnet_c2f_b_f1_c4_negative_high_parent,B,1,4,PASS,19.4376,resnet_direct_fine01,PASS,10.439,resnet_direct_coarse04,PASS,21.5029,resnet_direct_fine01,10.439,COMPARABLE,8.9986,86.20174346201743,False,8.9986,86.20174346201743,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine01_coarse05,Step-R:new,B,1,5,PASS,6.1240000000000006,resnet_direct_fine01,PASS,10.439,resnet_direct_coarse05,PASS,12.9191,resnet_direct_fine01,10.439,COMPARABLE,-4.3149999999999995,-41.335376951815306,True,-4.3149999999999995,-41.335376951815306,True
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse01,Step-R:new,B,2,1,PASS,15.146899999999999,resnet_direct_fine02,PASS,10.9807,resnet_direct_coarse01,PASS,19.8825,resnet_direct_fine02,10.9807,COMPARABLE,4.166199999999998,37.941114865172516,False,4.166199999999998,37.941114865172516,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse02,Step-R:new,B,2,2,PASS,10.6145,resnet_direct_fine02,PASS,10.9807,resnet_direct_coarse02,PASS,19.6141,resnet_direct_fine02,10.9807,COMPARABLE,-0.36620000000000097,-3.3349422167985736,True,-0.36620000000000097,-3.3349422167985736,True
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse03,Step-R:new,B,2,3,PASS,11.3338,resnet_direct_fine02,PASS,10.9807,resnet_direct_coarse03,PASS,24.6459,resnet_direct_fine02,10.9807,COMPARABLE,0.3530999999999995,3.2156419900370605,False,0.3530999999999995,3.2156419900370605,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse04,Step-Q:resnet_c2f_b_f2_c4_global_best,B,2,4,PASS,15.7758,resnet_direct_fine02,PASS,10.9807,resnet_direct_coarse04,PASS,21.5029,resnet_direct_fine02,10.9807,COMPARABLE,4.7951,43.668436438478416,False,4.7951,43.668436438478416,False
1,fr1_desk_clean,fr1_desk,clean,resnet_c2f_b_fine02_coarse05,Step-R:new,B,2,5,PASS,13.669,resnet_direct_fine02,PASS,10.9807,resnet_direct_coarse05,PASS,12.9191,resnet_direct_fine02,10.9807,COMPARABLE,2.6883,24.482045771216768,False,2.6883,24.482045771216768,False
