channel,eligible,valid_frames_clean,valid_frames_light,cross_light_ncc,gradient_energy_clean,gradient_energy_light,robust_gradient_energy
93,True,30,30,0.9400543288144994,0.09536367424295064,0.09123841420463658,0.09123841420463658
94,True,30,30,0.829807272799259,0.13945743586312123,0.13574451757068867,0.13574451757068867
95,True,30,30,0.939643681137305,0.12902429841090995,0.11777584181822329,0.11777584181822329
96,True,30,30,0.9210456162645877,0.13683400350120015,0.13106438499758022,0.13106438499758022
97,True,30,30,0.897278842869726,0.0842359576629362,0.07587084084866541,0.07587084084866541
98,True,30,30,0.8778336945808998,0.08820805236123758,0.08658605274070347,0.08658605274070347
99,True,30,30,0.9515003822387949,0.14739072206683326,0.1346470743487636,0.1346470743487636
100,True,30,30,0.8891085655983669,0.0886935704558611,0.07799707881541787,0.07799707881541787
101,True,30,30,0.9209879397989139,0.08243569427016703,0.07575053304454626,0.07575053304454626
102,True,30,30,0.933649072691281,0.134390573400538,0.12456366493954166,0.12456366493954166
103,True,30,30,0.8935524228364922,0.12212705800030263,0.10626484269736655,0.10626484269736655
104,True,30,30,0.8155959834275075,0.2018694360124711,0.2157914466352812,0.2018694360124711
105,True,30,30,0.8919890167124854,0.13726638310703634,0.12110309152351634,0.12110309152351634
106,True,30,30,0.9403644237392063,0.14389817319073744,0.12765853978167374,0.12765853978167374
107,True,30,30,0.8451055171871509,0.07861625218719862,0.08149055698094998,0.07861625218719862
108,True,30,30,0.9501268063318342,0.19649333580733191,0.1868006009326354,0.1868006009326354
109,True,30,30,0.9118829648212956,0.11812074637164272,0.12370502912838767,0.11812074637164272
110,True,30,30,0.9301742352459665,0.17914492303820118,0.16405366373462188,0.16405366373462188
111,True,30,30,0.9200800598573384,0.1635059389465358,0.1513786315324686,0.1513786315324686
112,True,30,30,0.9490209490801516,0.12148075356099688,0.11742408470866914,0.11742408470866914
113,True,30,30,0.9364551952705644,0.22632242808845338,0.2039843350363884,0.2039843350363884
114,True,30,30,0.8779765145796157,0.18172091908589882,0.16096949383300804,0.16096949383300804
115,True,30,30,0.9606164603147538,0.10320067543048426,0.11814885533643989,0.10320067543048426
116,True,30,30,0.9521777568682221,0.13121706547233547,0.1185176258406369,0.1185176258406369
117,True,30,30,0.8218322884225239,0.04228195299401043,0.03258792183816156,0.03258792183816156
118,True,30,30,0.865031911997812,0.14904418283604798,0.12956965300897222,0.12956965300897222
119,True,30,30,0.917489698919596,0.11047910866478045,0.10846366062523942,0.10846366062523942
120,True,30,30,0.8939295060022513,0.05565953004315234,0.05283352054426592,0.05283352054426592
121,True,30,30,0.9360519710294848,0.08838929986767897,0.08234736350736815,0.08234736350736815
122,True,30,30,0.9135225404479673,0.12059922658298455,0.12291652042508326,0.12059922658298455
123,True,30,30,0.8030497314961015,0.04224290441686103,0.0480931847116465,0.04224290441686103
124,True,30,30,0.9279765970538776,0.25934580766752546,0.2525895901054489,0.2525895901054489
125,True,30,30,0.8680373428902164,0.1285495534307013,0.11202708388203159,0.11202708388203159
126,True,30,30,0.847233801868132,0.08398786393953112,0.08425014780617537,0.08398786393953112
127,True,30,30,0.9463328091328469,0.17710448127771344,0.15814908314460838,0.15814908314460838
