step,beam,channel,subset,bqs,marginal
2,beam1(seed=ch6),23,"[6, 23]",0.5630516090676013,-0.116796
2,beam1(seed=ch6),24,"[6, 24]",0.11016345199085283,-0.569684
2,beam1(seed=ch6),25,"[6, 25]",0.13095926873791142,-0.548888
2,beam1(seed=ch6),26,"[6, 26]",0.2576085246318566,-0.422239
2,beam1(seed=ch6),27,"[6, 27]",0.6939051133159211,0.014057
2,beam1(seed=ch6),28,"[6, 28]",0.7156120282056482,0.035764
2,beam1(seed=ch6),29,"[6, 29]",0.6653361317464381,-0.014511
2,beam1(seed=ch6),30,"[6, 30]",0.17144491391062572,-0.508403
2,beam1(seed=ch6),31,"[6, 31]",0.5345671549523628,-0.14528
2,beam1(seed=ch6),32,"[6, 32]",0.677721858618169,-0.002126
2,beam1(seed=ch6),33,"[6, 33]",0.5714031235392316,-0.108444
2,beam1(seed=ch6),34,"[6, 34]",0.6727708516443609,-0.007077
2,beam1(seed=ch6),35,"[6, 35]",0.6678797684040199,-0.011968
2,beam1(seed=ch6),36,"[6, 36]",0.6798476116609752,-0.0
2,beam1(seed=ch6),37,"[6, 37]",0.596214838574651,-0.083633
2,beam1(seed=ch6),38,"[6, 38]",0.6798476116609752,-0.0
2,beam1(seed=ch6),39,"[6, 39]",0.4845341303672611,-0.195313
2,beam1(seed=ch6),40,"[6, 40]",0.6399710572509791,-0.039877
