channel,BQS,BQ,LQBS,Width,ShapeSim,SharpRet,MinPos,Symmetry,Retention,kill_clean,kill_50
47,0.4416,0.524758,0.693855,0.017468,0.936235,0.986797,1.0,0.910871,0.84153,0.0,0.0
48,0.239418,0.29642,0.390927,0.0129,0.951192,0.917771,1.0,0.925224,0.807699,5.9,3.1
49,0.292048,0.330029,0.436545,0.010481,0.936849,0.982886,1.0,0.961012,0.884915,2.0,1.8
50,0.215587,0.25464,0.336115,0.010212,0.971722,0.949167,1.0,0.917937,0.846637,0.0,0.0
51,0.406902,0.497984,0.6509,0.039237,0.994809,0.983404,1.0,0.835223,0.817098,0.6,0.6
52,0.250139,0.348241,0.460649,0.011019,0.907266,0.852341,1.0,0.928865,0.718292,10.9,5.3
53,0.47786,0.624645,0.820767,0.036281,0.911742,0.941249,1.0,0.891437,0.765009,0.4,0.1
54,0.328988,0.382236,0.506333,0.009944,0.969405,0.944489,1.0,0.940042,0.860695,4.4,3.0
55,0.510111,0.5907,0.779717,0.02365,0.943786,0.964197,1.0,0.948981,0.863569,0.1,0.3
56,0.28876,0.460455,0.606236,0.023112,0.903916,0.794901,1.0,0.872787,0.627119,21.5,12.3
57,0.32283,0.41935,0.548832,0.030906,0.892009,0.998762,1.0,0.864105,0.769835,7.4,2.8
58,0.247786,0.342261,0.45178,0.013706,0.934228,0.849732,1.0,0.911978,0.723968,2.5,1.5
59,0.253659,0.366209,0.484605,0.011019,0.878895,0.875066,1.0,0.900625,0.692663,0.1,0.2
60,0.538722,0.603687,0.791657,0.039774,0.994932,1.0,1.0,0.896933,0.892388,0.0,0.0
61,0.503265,0.627837,0.819469,0.052943,0.924941,0.986316,1.0,0.878656,0.801585,0.0,0.0
62,0.433426,0.475306,0.624962,0.026337,0.990058,0.98888,0.994204,0.936832,0.911888,44.3,71.1
63,0.218145,0.265877,0.351368,0.009406,0.899782,0.965608,1.0,0.944335,0.820473,0.1,0.1
