dataset_order,dataset_key,dataset_family,dataset_condition,c2f_label,c2f_variant,c2f_configuration,c2f_status,c2f_ate_mean_cm,fine_parent_label,fine_parent_status,fine_parent_ate_mean_cm,coarse_parent_label,coarse_parent_status,coarse_parent_ate_mean_cm,best_direct_parent_label,best_direct_parent_ate_mean_cm,comparison_status,delta_vs_fine_cm,percent_delta_vs_fine,beats_fine_parent,delta_vs_better_direct_parent_cm,percent_delta_vs_better_direct_parent,beats_better_direct_parent
7,fr3_long_office_household_clean,fr3_long_office_household,clean,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,24.567700000000002,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,11.9425,resnet_layer2_direct_c4_d67_d108_d121,PASS,68.41000000000001,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,11.9425,COMPARABLE,12.625200000000001,105.71655850952482,False,12.625200000000001,105.71655850952482,False
7,fr3_long_office_household_clean,fr3_long_office_household,clean,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,12.531900000000002,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,11.9425,resnet_layer2_direct_c4_d67_d108_d121,PASS,68.41000000000001,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,11.9425,COMPARABLE,0.5894000000000013,4.935315051287429,False,0.5894000000000013,4.935315051287429,False
7,fr3_long_office_household_clean,fr3_long_office_household,clean,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,18.7077,resnet_conv1_direct_f6_d29_d33_d52,PASS,15.881700000000002,resnet_layer2_direct_c5_d108_d121,PASS,61.9243,resnet_conv1_direct_f6_d29_d33_d52,15.881700000000002,COMPARABLE,2.825999999999997,17.79406486711118,False,2.825999999999997,17.79406486711118,False
8,fr3_long_office_household_lightswitch,fr3_long_office_household,lightswitch,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",FAIL_TRACKING_NAN,,resnet_conv1_direct_f1_d15_d20_d26_d34,FAIL_TRACKING_NAN,,resnet_layer2_direct_c4_d67_d108_d121,PASS,72.42309999999999,,,C2F_NONPASS,,,False,,,False
8,fr3_long_office_household_lightswitch,fr3_long_office_household,lightswitch,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,31.791399999999996,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,10.2158,resnet_layer2_direct_c4_d67_d108_d121,PASS,72.42309999999999,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,10.2158,COMPARABLE,21.575599999999994,211.19833982654316,False,21.575599999999994,211.19833982654316,False
8,fr3_long_office_household_lightswitch,fr3_long_office_household,lightswitch,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,11.478,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,10.2158,resnet_layer2_direct_c4_d67_d108_d121,PASS,72.42309999999999,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,10.2158,COMPARABLE,1.2622,12.355371091838133,False,1.2622,12.355371091838133,False
8,fr3_long_office_household_lightswitch,fr3_long_office_household,lightswitch,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,19.7013,resnet_conv1_direct_f6_d29_d33_d52,PASS,32.3828,resnet_layer2_direct_c5_d108_d121,PASS,65.5992,resnet_conv1_direct_f6_d29_d33_d52,32.3828,COMPARABLE,-12.681500000000003,-39.16122138913251,True,-12.681500000000003,-39.16122138913251,True
9,fr3_long_office_household_flashlight,fr3_long_office_household,flashlight,resnet_c2f_b_f1_c4_negative_high_parent,B,"C2F-B; fine conv1[d15,d20,d26,d34]; coarse layer2[d67,d108,d121]",PASS,12.418999999999999,resnet_conv1_direct_f1_d15_d20_d26_d34,PASS,11.6302,resnet_layer2_direct_c4_d67_d108_d121,PASS,67.5551,resnet_conv1_direct_f1_d15_d20_d26_d34,11.6302,COMPARABLE,0.7887999999999984,6.782342522054637,False,0.7887999999999984,6.782342522054637,False
9,fr3_long_office_household_flashlight,fr3_long_office_household,flashlight,resnet_c2f_a_f2_c4_variant_negative,A,"C2F-A; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,22.6986,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,11.877799999999999,resnet_layer2_direct_c4_d67_d108_d121,PASS,67.5551,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,11.877799999999999,COMPARABLE,10.8208,91.10104564818401,False,10.8208,91.10104564818401,False
9,fr3_long_office_household_flashlight,fr3_long_office_household,flashlight,resnet_c2f_b_f2_c4_global_best,B,"C2F-B; fine conv1[d23,d24,d26,d51,d63]; coarse layer2[d67,d108,d121]",PASS,12.388499999999999,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,PASS,11.877799999999999,resnet_layer2_direct_c4_d67_d108_d121,PASS,67.5551,resnet_conv1_direct_f2_d23_d24_d26_d51_d63,11.877799999999999,COMPARABLE,0.5106999999999999,4.299617774335315,False,0.5106999999999999,4.299617774335315,False
9,fr3_long_office_household_flashlight,fr3_long_office_household,flashlight,resnet_c2f_a_f6_c5_positive_synergy,A,"C2F-A; fine conv1[d29,d33,d52]; coarse layer2[d108,d121]",PASS,19.1299,resnet_conv1_direct_f6_d29_d33_d52,PASS,16.1544,resnet_layer2_direct_c5_d108_d121,PASS,60.467999999999996,resnet_conv1_direct_f6_d29_d33_d52,16.1544,COMPARABLE,2.9755000000000003,18.419130391719904,False,2.9755000000000003,18.419130391719904,False
