channel,condition,local_quadratic_bowl_score,r2,min_eigval,symmetry_score,basin_width,local_convergence_sr,local_sharpness,condition_number,coeff_xx,coeff_yy
32,bright50,0.284532,0.907396,0.001224,0.826033,42.426407,1.000000,0.012563,1.491552,0.000886,0.001293
33,clean,0.461082,0.810711,0.002704,0.989398,4.123106,1.000000,0.042057,1.415053,0.001693,0.001817
33,bright30,0.386733,0.897728,0.002323,0.801609,13.038405,1.000000,0.030359,1.446087,0.001493,0.001788
33,bright50,0.281751,0.919808,0.001750,0.656327,42.426407,0.918182,0.028629,1.644214,0.001001,0.001645
34,clean,0.490249,0.909769,0.002448,0.979152,9.219544,1.000000,0.020449,1.419643,0.001539,0.001849
34,bright30,0.315583,0.901103,0.001552,0.801651,42.426407,0.940909,0.022487,1.540484,0.001239,0.001948
34,bright50,0.000000,0.900650,-0.000791,0.580811,0.000000,0.450000,0.009480,1.835984,-0.000124,0.000041
35,clean,0.354599,0.884974,0.001373,0.984260,16.278821,1.000000,0.018066,1.360192,0.001157,0.001295
35,bright30,0.144392,0.953619,0.000602,0.654719,42.426407,0.884091,0.012053,1.370955,0.000619,0.000884
35,bright50,0.087305,0.810896,0.000604,0.464375,37.202150,0.788636,0.003111,40.544270,0.004036,0.000303
36,clean,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
36,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
36,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
37,clean,0.438388,0.932756,0.001788,0.995591,12.806248,1.000000,0.013410,1.243058,0.001201,0.001680
37,bright30,0.313283,0.957230,0.001639,0.726665,42.426407,0.997727,0.012785,1.235897,0.001123,0.001457
37,bright50,0.169780,0.979149,0.000868,0.573154,0.000000,0.820455,0.009647,1.115565,0.000726,0.000766
38,clean,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
38,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
38,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
39,clean,0.262182,0.785686,0.001183,0.897648,3.605551,0.990909,0.145898,1.664525,0.000606,0.001663
39,bright30,0.132182,0.958409,0.000510,0.678467,33.105891,0.995455,0.053577,1.701958,0.000257,0.001634
39,bright50,0.052485,0.981498,0.000218,0.544223,42.426407,0.961364,0.023101,1.697140,0.000110,0.001469
40,clean,0.054402,0.220193,0.000707,0.945753,1.414214,0.702273,0.293649,2.046623,0.000510,0.000611
40,bright30,0.060673,0.217929,0.000843,0.938836,1.414214,0.693182,0.354532,2.015361,0.000590,0.000656
40,bright50,0.116034,0.404282,0.000946,0.893711,2.828427,0.754545,0.258623,2.094538,0.000698,0.000645
41,clean,0.319009,0.616987,0.002162,0.995413,3.000000,1.000000,0.089777,3.482581,0.001722,0.001381
41,bright30,0.273953,0.639605,0.001889,0.881888,3.000000,0.997727,0.092406,3.497897,0.001601,0.001188
41,bright50,0.209739,0.679939,0.001224,0.812608,3.000000,0.909091,0.097917,3.664401,0.001526,0.000720
42,clean,0.259235,0.595634,0.001586,0.984230,5.099020,1.000000,0.055210,6.038203,0.000890,0.002467
42,bright30,0.220574,0.609978,0.001327,0.906632,6.082763,1.000000,0.055673,5.971919,0.000752,0.002491
42,bright50,0.150209,0.609114,0.000848,0.827888,7.071068,0.897727,0.065841,6.258098,0.000488,0.002486
43,clean,0.175181,0.394958,0.001742,0.952794,4.242641,0.825000,0.110998,3.642875,0.001004,0.001575
43,bright30,0.138250,0.397827,0.001242,0.907121,4.242641,0.772727,0.114905,4.041408,0.000708,0.001706
43,bright50,0.094427,0.547153,0.000555,0.794454,7.071068,0.700000,0.089765,4.771130,0.000341,0.001251
44,clean,0.300278,0.755356,0.001518,0.921240,5.099020,1.000000,0.054421,3.618444,0.001903,0.000774
44,bright30,0.101878,0.959299,0.000371,0.678789,33.105891,1.000000,0.017364,4.140666,0.001833,0.000186
44,bright50,0.036018,0.959438,0.000103,0.767521,31.953091,1.000000,0.011170,4.579445,0.002226,0.000051
45,clean,0.525689,0.911184,0.002769,0.993582,8.544004,1.000000,0.014556,1.555002,0.001441,0.002312
45,bright30,0.423692,0.920214,0.002732,0.797508,10.816654,1.000000,0.016194,1.528718,0.001383,0.002307
45,bright50,0.322358,0.954607,0.002182,0.647242,42.426407,0.995455,0.014725,1.288079,0.001099,0.001553
46,clean,0.458387,0.877741,0.002209,0.995154,8.246211,1.000000,0.020770,2.257635,0.001141,0.002125
46,bright30,0.348656,0.882963,0.001768,0.841574,15.132746,1.000000,0.019754,2.251193,0.000911,0.001906
46,bright50,0.208133,0.920142,0.000912,0.722028,42.426407,0.997727,0.016105,2.245977,0.000464,0.001517
47,clean,0.250319,0.504251,0.001989,0.995546,5.000000,0.920455,0.107709,3.360380,0.001001,0.001706
47,bright30,0.262720,0.671558,0.001688,0.854597,5.656854,0.895455,0.088792,3.484682,0.000850,0.001556
47,bright50,0.267008,0.763936,0.001520,0.809460,14.142136,0.900000,0.069591,3.735509,0.000763,0.001365
48,clean,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
48,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
48,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
49,clean,0.185937,0.441479,0.001608,0.944892,4.242641,0.859091,0.098089,3.393398,0.001197,0.001495
49,bright30,0.149432,0.390147,0.001358,0.947067,3.605551,0.809091,0.139290,3.705929,0.001091,0.002159
49,bright50,0.163745,0.454942,0.001408,0.871228,4.242641,0.843182,0.117650,3.889175,0.000970,0.001846
50,clean,0.203643,0.659242,0.001094,0.873841,4.242641,0.915909,0.106066,2.437181,0.001697,0.000744
50,bright30,0.181562,0.860323,0.000824,0.723424,31.144823,0.904545,0.063421,2.378192,0.001466,0.000501
50,bright50,0.089314,0.971219,0.000420,0.529967,42.426407,0.879545,0.025215,2.079308,0.001188,0.000227
51,clean,0.313229,0.718150,0.001594,0.983345,7.211103,1.000000,0.051515,4.210669,0.001198,0.001862
51,bright30,0.278010,0.767017,0.001509,0.842800,12.041595,1.000000,0.046114,4.208187,0.001119,0.001639
51,bright50,0.253035,0.837913,0.001336,0.754110,28.284271,1.000000,0.039523,3.966533,0.000920,0.001333
52,clean,0.376435,0.737920,0.002112,0.993193,4.472136,1.000000,0.044907,1.695010,0.001379,0.002042
52,bright30,0.368809,0.736299,0.002086,0.981183,5.099020,1.000000,0.040758,1.751133,0.001310,0.001941
52,bright50,0.369396,0.764050,0.002010,0.964607,5.830952,1.000000,0.034977,1.644419,0.001216,0.001738
53,clean,0.348445,0.784905,0.001639,0.985492,8.485281,1.000000,0.057905,2.687735,0.001269,0.001701
53,bright30,0.293962,0.823047,0.001577,0.810249,15.556349,1.000000,0.061999,2.865808,0.001187,0.001723
53,bright50,0.201972,0.904567,0.001021,0.660811,42.426407,0.970455,0.053310,2.631375,0.000727,0.001270
54,clean,0.453406,0.824431,0.002722,0.954047,6.403124,1.000000,0.029431,1.395646,0.001475,0.001650
54,bright30,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
54,bright50,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,inf,0.000000,0.000000
55,clean,0.440782,0.835566,0.002269,0.992575,6.403124,0.984091,0.077034,2.541069,0.001243,0.001513
55,bright30,0.363180,0.870673,0.002115,0.811535,11.704700,0.952273,0.076252,2.538637,0.001175,0.001348
55,bright50,0.244916,0.892089,0.001385,0.671037,1.414214,0.859091,0.081765,2.638062,0.000917,0.000757
56,clean,0.317711,0.624124,0.002443,0.925841,4.472136,0.911364,0.058451,2.254023,0.001646,0.002191
56,bright30,0.298633,0.889099,0.001731,0.724045,42.426407,0.904545,0.024469,2.078162,0.001455,0.000942
