channel,ch_0,ch_1,ch_2,ch_3,ch_4,ch_5,ch_6,ch_7,ch_8,ch_9,ch_10,ch_11,ch_12,ch_13,ch_14,ch_15,ch_16,ch_17,ch_18,ch_19,ch_20,ch_21,ch_22,ch_23,ch_24,ch_25,ch_26,ch_27,ch_28,ch_29,ch_30,ch_31,ch_32,ch_33,ch_34,ch_35,ch_36,ch_37,ch_38,ch_39,ch_40,ch_41,ch_42,ch_43,ch_44,ch_45,ch_46,ch_47,ch_48,ch_49,ch_50,ch_51,ch_52,ch_53,ch_54,ch_55,ch_56,ch_57,ch_58,ch_59,ch_60,ch_61,ch_62,ch_63
20,0.07979032,0.05698014,0.16579112,0.23386708,0.16796863,0.07461682,0.14345095,0.07269812,0.04511281,0.06312211,0.06587036,0.14015344,0.17271505,0.03582443,0.54166538,0.21681249,0.07826097,0.15544190,0.05673923,0.08429383,1.00000000,0.21366400,0.48077065,0.18579584,0.14598137,0.08405408,0.02486414,0.06383243,0.10207905,0.12517136,0.06293527,0.06066885,0.17147464,0.10334338,0.20525618,0.06069089,0.09961110,0.05881921,0.01850294,0.13239977,0.05903392,0.25720501,0.08736764,0.07294011,0.13035189,0.20884401,0.21454823,0.08478370,0.13989541,0.16121162,0.21238184,0.14724191,0.09668504,0.06183126,0.16890895,0.04312126,0.27937678,0.07194726,0.34618798,0.05188476,0.15991184,0.05108183,0.30484399,0.08824290
21,0.07398537,0.09398069,0.17447858,0.04281458,0.29793260,0.17198271,0.17580536,0.19520137,0.09119117,0.09345515,0.40801251,0.08915453,0.25320989,0.22150388,0.16591346,0.13258502,0.09714060,0.03545301,0.14123099,0.18192445,0.21366400,1.00000000,0.31628925,0.31150854,0.16637672,0.27607226,0.06797643,0.04818949,0.06438094,0.07289328,0.15527919,0.03798463,0.04061523,0.08909291,0.09319618,0.12908641,0.04888010,0.07826899,0.04452870,0.04463762,0.15406239,0.22895946,0.18366450,0.08704391,0.37867045,0.06271163,0.15709950,0.07359202,0.08896679,0.21245781,0.11828467,0.10069020,0.07845339,0.31761733,0.13832778,0.31431359,0.05369968,0.10057005,0.18852611,0.07537767,0.09011377,0.22727305,0.10073289,0.12745295
22,0.03849372,0.08798994,0.08582410,0.35163996,0.12536390,0.06486392,0.14393413,0.02232838,0.15689644,0.06344521,0.03650986,0.07057013,0.21066111,0.12061787,0.42348295,0.13741571,0.02622769,0.23420420,0.03861808,0.04442885,0.48077065,0.31628925,1.00000000,0.12581107,0.06526491,0.08519540,0.02632079,0.03005477,0.12685831,0.03965847,0.11064773,0.07033183,0.08267783,0.02981056,0.08808328,0.01464801,0.18608713,0.03071926,0.03939105,0.04178501,0.04351907,0.10115297,0.06322411,0.19585860,0.09237404,0.10915852,0.30115050,0.11735360,0.35017258,0.17946167,0.21823648,0.03538009,0.14871722,0.03775728,0.04777937,0.08391921,0.32600370,0.07159653,0.16180179,0.12463406,0.13345270,0.02165845,0.09285877,0.18329993
23,0.21993588,0.08647788,0.23726454,0.15769339,0.55888033,0.05942848,0.20507975,0.19894564,0.03291152,0.19630158,0.13047263,0.16400746,0.16009086,0.27405941,0.12462647,0.35256910,0.32534659,0.12722078,0.27719361,0.32253829,0.18579584,0.31150854,0.12581107,1.00000000,0.32338777,0.21457234,0.09517324,0.24887462,0.23449521,0.09786430,0.04304507,0.16057661,0.10588172,0.22338414,0.21082070,0.14141560,0.25649458,0.13176066,0.05994565,0.07177837,0.05161258,0.19794314,0.16171330,0.06428756,0.09687603,0.11521395,0.13545890,0.07555678,0.05728381,0.13350882,0.03722561,0.13211040,0.16472325,0.16099486,0.06126375,0.25199765,0.18947458,0.16949928,0.11156697,0.04706436,0.25636330,0.33946812,0.26080042,0.13982366
24,0.21330264,0.05865187,0.12495299,0.19212246,0.20350522,0.16399503,0.18175536,0.07660387,0.08736107,0.09046548,0.12646581,0.03869803,0.20672244,0.09248750,0.05672815,0.24330121,0.13685739,0.05563994,0.16574250,0.12835631,0.14598137,0.16637672,0.06526491,0.32338777,1.00000000,0.14740494,0.12081391,0.06356966,0.11622970,0.18515527,0.06635344,0.10483029,0.05108499,0.08739200,0.21729934,0.20404303,0.11446410,0.07997920,0.03439634,0.08596391,0.04041682,0.10619516,0.07895509,0.14617240,0.05895537,0.15864579,0.15335959,0.21248531,0.04951902,0.04960742,0.04061870,0.14768311,0.02201074,0.12787309,0.09002978,0.29095611,0.03795379,0.12997234,0.02980199,0.09312984,0.30231524,0.25212866,0.18277475,0.08121313
25,0.15135014,0.04893044,0.21495935,0.32627547,0.23335110,0.16059113,0.10624297,0.04491450,0.02527255,0.11278561,0.05572584,0.04462986,0.15278494,0.10712452,0.05789922,0.22649482,0.09062507,0.07996522,0.07183170,0.23529844,0.08405408,0.27607226,0.08519540,0.21457234,0.14740494,1.00000000,0.04882676,0.05226791,0.10138776,0.09871915,0.14432681,0.09960447,0.08244217,0.07194185,0.18889871,0.19612092,0.05470566,0.08473203,0.04839702,0.05720109,0.14014819,0.20392096,0.28300506,0.06398801,0.42427588,0.05853588,0.13631305,0.05741432,0.07862209,0.03343066,0.09971552,0.14631511,0.02552429,0.17128298,0.09673177,0.14271425,0.36648014,0.11967857,0.38114417,0.13639468,0.05739758,0.14340848,0.22481212,0.03637709
26,0.04808062,0.04403696,0.15116996,0.02552104,0.27271861,0.01968695,0.04832864,0.17014962,0.05630781,0.03324129,0.08360773,0.02538477,0.17550761,0.09923523,0.05004827,0.05605536,0.06211258,0.18316412,0.17316961,0.13822421,0.02486414,0.06797643,0.02632079,0.09517324,0.12081391,0.04882676,1.00000000,0.22276005,0.12467739,0.23057988,0.22552764,0.10964851,0.08930634,0.11368793,0.08543326,0.07343699,0.08511664,0.07647503,0.13380724,0.12889457,0.05643408,0.12490028,0.17564175,0.05490722,0.05855953,0.21463558,0.03380324,0.09339519,0.23428398,0.08569149,0.02957461,0.04080123,0.10474634,0.05554805,0.37173408,0.15969244,0.08929975,0.51062429,0.10114211,0.03343128,0.05764478,0.24707624,0.04647168,0.08442301
27,0.06887458,0.02182200,0.04967114,0.04346081,0.10707505,0.34634888,0.34607226,0.09589782,0.02429177,0.03247550,0.05761365,0.11957504,0.05281946,0.03040247,0.05774577,0.05462074,0.05237684,0.02365202,0.21157984,0.11640556,0.06383243,0.04818949,0.03005477,0.24887462,0.06356966,0.05226791,0.22276005,1.00000000,0.27222124,0.04355804,0.01807257,0.07251503,0.15566033,0.19669056,0.11770236,0.12336890,0.03391930,0.10479769,0.02740227,0.07325654,0.06098809,0.06170997,0.06386589,0.09040434,0.03184392,0.38950849,0.07792725,0.04141918,0.10011977,0.05095228,0.02439450,0.04517529,0.36377370,0.04451714,0.08026746,0.08142126,0.07698072,0.14934763,0.10215671,0.02443325,0.12318772,0.15219475,0.25776705,0.04553813
28,0.18889266,0.06580213,0.02741583,0.17637709,0.25203800,0.14795308,0.19269732,0.08250582,0.07660258,0.11487298,0.10538259,0.10402094,0.04180809,0.16022238,0.04090110,0.21994278,0.10891902,0.05345206,0.31844109,0.04484297,0.10207905,0.06438094,0.12685831,0.23449521,0.11622970,0.10138776,0.12467739,0.27222124,1.00000000,0.16761386,0.06280246,0.05250151,0.13495822,0.04859342,0.08384502,0.19027603,0.07863437,0.23120061,0.03502167,0.09579787,0.06624815,0.15169355,0.05316871,0.02653441,0.06956616,0.54063404,0.06000274,0.07372107,0.18407527,0.10754950,0.05046552,0.04562845,0.19302289,0.07648170,0.07018057,0.18519008,0.21676344,0.04159786,0.11571220,0.07357703,0.06161013,0.15121642,0.07833794,0.09913169
29,0.08395140,0.15240410,0.19295679,0.04357874,0.17165112,0.09829382,0.07481135,0.10896051,0.07912405,0.05826390,0.34795088,0.08298917,0.03457931,0.27281755,0.06072743,0.23025469,0.23081806,0.32595325,0.07428885,0.40830648,0.12517136,0.07289328,0.03965847,0.09786430,0.18515527,0.09871915,0.23057988,0.04355804,0.16761386,1.00000000,0.06862475,0.07384883,0.06456185,0.15668166,0.17482726,0.12467900,0.22373815,0.21213552,0.01950327,0.07719758,0.07267655,0.09677884,0.09687887,0.02805393,0.05374641,0.13185748,0.20015424,0.04241610,0.47367579,0.23852479,0.09624523,0.03826275,0.04499228,0.05729005,0.25986081,0.07531571,0.11331694,0.23832431,0.08457600,0.07315744,0.20052576,0.08776818,0.06996328,0.06852110
