stage,label,replicate,candidate_key,channels_json,source_label,role,metadata_json,created_at
direct_greedy,g_pair_seed_sweep_d00_d32,0,"0,32","[0, 32]",g_pair_seed_sweep_d00_d32,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.192198+00:00
direct_greedy,g_pair_seed_sweep_d00_d33,0,"0,33","[0, 33]",g_pair_seed_sweep_d00_d33,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.198644+00:00
direct_greedy,g_pair_seed_sweep_d00_d34,0,"0,34","[0, 34]",g_pair_seed_sweep_d00_d34,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.205088+00:00
direct_greedy,g_pair_seed_sweep_d00_d35,0,"0,35","[0, 35]",g_pair_seed_sweep_d00_d35,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.211864+00:00
direct_greedy,g_pair_seed_sweep_d00_d36,0,"0,36","[0, 36]",g_pair_seed_sweep_d00_d36,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.218550+00:00
direct_greedy,g_pair_seed_sweep_d00_d37,0,"0,37","[0, 37]",g_pair_seed_sweep_d00_d37,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.224980+00:00
direct_greedy,g_pair_seed_sweep_d00_d38,0,"0,38","[0, 38]",g_pair_seed_sweep_d00_d38,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.231468+00:00
direct_greedy,g_pair_seed_sweep_d00_d39,0,"0,39","[0, 39]",g_pair_seed_sweep_d00_d39,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.238284+00:00
direct_greedy,g_pair_seed_sweep_d00_d40,0,"0,40","[0, 40]",g_pair_seed_sweep_d00_d40,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.245271+00:00
direct_greedy,g_pair_seed_sweep_d00_d41,0,"0,41","[0, 41]",g_pair_seed_sweep_d00_d41,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.252146+00:00
direct_greedy,g_pair_seed_sweep_d00_d42,0,"0,42","[0, 42]",g_pair_seed_sweep_d00_d42,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.258671+00:00
direct_greedy,g_pair_seed_sweep_d00_d43,0,"0,43","[0, 43]",g_pair_seed_sweep_d00_d43,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.265218+00:00
direct_greedy,g_pair_seed_sweep_d00_d44,0,"0,44","[0, 44]",g_pair_seed_sweep_d00_d44,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.271788+00:00
direct_greedy,g_pair_seed_sweep_d00_d45,0,"0,45","[0, 45]",g_pair_seed_sweep_d00_d45,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.278533+00:00
direct_greedy,g_pair_seed_sweep_d00_d46,0,"0,46","[0, 46]",g_pair_seed_sweep_d00_d46,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.285442+00:00
direct_greedy,g_pair_seed_sweep_d00_d47,0,"0,47","[0, 47]",g_pair_seed_sweep_d00_d47,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.291985+00:00
direct_greedy,g_pair_seed_sweep_d00_d48,0,"0,48","[0, 48]",g_pair_seed_sweep_d00_d48,exhaustive two-channel full-sequence seed sweep (all_singletons_failed),"{""cardinality"": 2, ""phase"": ""pair_seed_sweep"", ""reused_existing_evaluation"": true, ""sweep_reason"": ""all_singletons_failed""}",2026-08-18T16:39:57.298209+00:00
